library,dataset,version,vkey,itr,category,energy,duration
Dask,Adult,2022.1.0,v2,10,Missing,0.014099,0.0014200210571289
Dask,Adult,2022.1.0,v2,10,Missing,0.05957,0.0073873996734619
Dask,Adult,2022.1.0,v2,10,Missing,0.02954,0.0043423175811767
Dask,Adult,2022.1.0,v2,10,Missing,0.008056,0.0014059543609619
Dask,Adult,2022.1.0,v2,10,Row/Column,0.035278,0.0040924549102783
Dask,Adult,2022.1.0,v2,10,Aggregation,0.00061,0.000746726989746
Dask,Adult,2022.1.0,v2,10,Row/Column,0.116822,0.014463186264038
Dask,Adult,2022.1.0,v2,10,Row/Column,0.025818,0.0039403438568115
Dask,Adult,2022.1.0,v2,10,Row/Column,0.21521,0.0257096290588378
Dask,Adult,2022.1.0,v2,10,Aggregation,0.503234,0.0599451065063476
Dask,Adult,2022.1.0,v2,10,Aggregation,0.21057,0.0229530334472656
Dask,Adult,2022.1.0,v2,10,Aggregation,0.2229,0.0242979526519775
Dask,Adult,2022.1.0,v2,10,Aggregation,0.207764,0.022817850112915
Dask,Adult,2022.1.0,v2,10,Aggregation,0.203857,0.0227301120758056
Dask,Adult,2022.1.0,v2,10,Row/Column,0.198425,0.0226075649261474
Dask,Adult,2022.1.0,v2,10,I/O,0.068603,0.0055136680603027
Dask,Adult,2022.1.0,v2,10,I/O,1.919551,0.2036800384521484
Dask,Adult,2022.1.0,v2,10,I/O,2.978813,0.3330044746398926
Dask,Adult,2022.1.0,v2,10,I/O,2.81347,0.2999711036682129
Dask,Adult,2022.1.0,v2,10,Missing,0.007385,0.0013408660888671
Dask,Adult,2022.1.0,v2,10,Missing,0.065734,0.0074999332427978
Dask,Adult,2022.1.0,v2,10,Missing,0.032959,0.0042624473571777
Dask,Adult,2022.1.0,v2,10,Missing,0.00592,0.0015747547149658
Dask,Adult,2022.1.0,v2,10,Row/Column,0.033386,0.0041663646697998
Dask,Adult,2022.1.0,v2,10,Aggregation,0.0,0.0005722045898437
Dask,Adult,2022.1.0,v2,10,Row/Column,0.119141,0.0148193836212158
Dask,Adult,2022.1.0,v2,10,Row/Column,0.032775,0.0040283203125
Dask,Adult,2022.1.0,v2,10,Row/Column,0.21527,0.0262801647186279
Dask,Adult,2022.1.0,v2,10,Aggregation,0.511962,0.0636186599731445
Dask,Adult,2022.1.0,v2,10,Aggregation,0.197509,0.0227375030517578
Dask,Adult,2022.1.0,v2,10,Aggregation,0.213684,0.0242402553558349
Dask,Adult,2022.1.0,v2,10,Aggregation,0.209961,0.0228359699249267
Dask,Adult,2022.1.0,v2,10,Aggregation,0.200988,0.0223016738891601
Dask,Adult,2022.1.0,v2,10,Row/Column,0.198241,0.0225203037261962
Dask,Adult,2022.1.0,v2,10,I/O,0.077575,0.006178855895996
Dask,Adult,2022.1.0,v2,10,I/O,1.872248,0.2035934925079345
Dask,Adult,2022.1.0,v2,10,I/O,2.902153,0.3272788524627685
Dask,Adult,2022.1.0,v2,10,I/O,2.705133,0.2984058856964111
Dask,Adult,2022.1.0,v2,10,Missing,0.008056,0.0013904571533203
Dask,Adult,2022.1.0,v2,10,Missing,0.033752,0.0047841072082519
Dask,Adult,2022.1.0,v2,10,Missing,0.054015,0.0068941116333007
Dask,Adult,2022.1.0,v2,10,Missing,0.009278,0.0015671253204345
Dask,Adult,2022.1.0,v2,10,Row/Column,0.033325,0.0041260719299316
Dask,Adult,2022.1.0,v2,10,Aggregation,0.0,0.0007498264312744
Dask,Adult,2022.1.0,v2,10,Row/Column,0.118774,0.0146512985229492
Dask,Adult,2022.1.0,v2,10,Row/Column,0.03418,0.0041127204895019
Dask,Adult,2022.1.0,v2,10,Row/Column,0.216918,0.0261604785919189
Dask,Adult,2022.1.0,v2,10,Aggregation,0.496642,0.0599138736724853
Dask,Adult,2022.1.0,v2,10,Aggregation,0.214965,0.0229575634002685
Dask,Adult,2022.1.0,v2,10,Aggregation,0.22113,0.0244035720825195
Dask,Adult,2022.1.0,v2,10,Aggregation,0.214721,0.0226826667785644
Dask,Adult,2022.1.0,v2,10,Aggregation,0.200013,0.0225551128387451
Dask,Adult,2022.1.0,v2,10,Row/Column,0.203796,0.0224106311798095
Dask,Adult,2022.1.0,v2,10,I/O,0.075133,0.0062549114227294
Dask,Adult,2022.1.0,v2,10,I/O,1.915462,0.2034065723419189
Dask,Adult,2022.1.0,v2,10,I/O,2.981986,0.3277270793914795
Dask,Adult,2022.1.0,v2,10,I/O,2.772636,0.295436143875122
Dask,Adult,2022.1.0,v2,10,Missing,0.007874,0.0014204978942871
Dask,Adult,2022.1.0,v2,10,Missing,0.033447,0.0046315193176269
Dask,Adult,2022.1.0,v2,10,Missing,0.054748,0.0068302154541015
Dask,Adult,2022.1.0,v2,10,Missing,0.007385,0.0014116764068603
Dask,Adult,2022.1.0,v2,10,Row/Column,0.030823,0.0040946006774902
Dask,Adult,2022.1.0,v2,10,Aggregation,0.0,0.0007359981536865
Dask,Adult,2022.1.0,v2,10,Row/Column,0.115479,0.0144712924957275
Dask,Adult,2022.1.0,v2,10,Row/Column,0.030701,0.0038018226623535
